Etiquetas de fila;Suma de casesMonth;Suma de deathMonth;Promedio de gdp;Promedio de extremePoverty;Promedio de cardiovascDeathRate;Promedio de diabetesPrevalence;Promedio de lifeExpectancy;Promedio de humanDevIndex
Indonesia;617820;18819;11188,744;5,7;342,864;6,32;71,72;0,718
Iran;1108269;52196;19082,62;0,2;270,308;9,59;76,68;0,783
Iraq;574634;12579;15663,986;2,5;218,612;8,83;70,6;0,674
Ireland;76185;2124;67335,293;0,2;126,459;3,28;82,3;0,955
Isle_of_Man;370;25;;;;;81,4;
Israel;357859;2999;33132,32;0,5;93,32;6,74;82,97;0,919
Italy;1843712;64520;35220,084;2;113,151;4,78;83,51;0,892
Jamaica;11710;273;8193,571;;206,537;11,28;74,47;0,734
Japan;179653;2585;39002,223;;79,37;5,72;84,63;0,919
Jersey;1779;32;;;;;;
Jordan;259614;3365;8337,49;0,1;208,257;11,75;74,53;0,729
Kazakhstan;186277;2552;24055,588;0,1;466,792;7,11;73,6;0,825
Kenya;91892;1587;2993,028;36,8;218,637;2,92;66,7;0,601
Kuwait;146218;911;65530,537;;132,235;15,84;75,49;0,806
Kyrgyzstan;77674;1312;3393,474;1,4;436,362;7,11;71,45;0,697
Laos;41;0;6397,36;22,7;368,111;4;67,92;0,613
Latvia;25675;349;25063,846;0,7;350,06;4,91;75,29;0,866
Lebanon;146520;1200;13367,565;;266,591;12,71;78,93;0,744
Lesotho;2250;44;2851,153;59,6;405,126;3,94;54,33;0,527
Liberia;1676;83;752,788;38,6;272,509;2,42;64,1;0,48
Libya;90779;1299;17881,509;;341,862;10,43;72,91;0,724
Liechtenstein;1514;18;;;;7,77;82,49;0,919
Lithuania;95021;825;29524,265;0,7;342,989;3,67;75,93;0,882
Luxembourg;41272;396;94277,965;0,2;128,275;4,42;82,25;0,916
Madagascar;17638;258;1416,44;77,6;405,994;3,94;67,04;0,528
Malawi;6066;187;1095,042;71,4;227,349;3,94;64,26;0,483
Malaysia;83475;415;26808,164;0,1;260,942;16,74;76,16;0,81
Maldives;13368;48;15183,616;;164,905;9,19;78,92;0,74
Mali;5814;194;2014,306;;268,024;2,42;59,31;0,434
Malta;11101;166;36513,323;0,2;168,711;8,83;82,53;0,895
Marshall_Islands;4;0;3819,202;;557,793;30,53;73,7;0,704
Mauritania;10780;222;3597,633;6;232,347;2,42;64,92;0,546
Mauritius;515;10;20292,745;0,5;224,644;22,02;74,99;0,804
Mexico;1250044;113953;17336,469;2,5;152,783;13,06;75,05;0,779
Moldova;126518;2572;5189,972;0,2;408,502;5,72;71,9;0,75
Monaco;668;2;;;;5,46;86,75;
Mongolia;912;0;11840,846;0,5;460,043;4,82;69,87;0,737
Montenegro;41426;582;16409,288;1;387,305;10,08;76,88;0,829
Morocco;399609;6624;7485,013;1;419,146;7,14;76,68;0,686
Mozambique;16954;142;1136,103;62,9;329,942;3,3;60,85;0,456
Myanmar;108342;2268;5591,597;6,4;202,104;4,61;67,13;0,583
Namibia;16536;160;9541,808;13,4;243,811;3,94;63,71;0,646
Nepal;248423;1698;2442,804;15;260,797;7,26;70,78;0,602
Netherlands;612746;10034;48472,545;;109,361;5,29;82,28;0,944
New_Caledonia;36;0;;;;23,36;77,55;
New_Zealand;1740;25;36085,843;;128,797;8,08;82,29;0,931
Nicaragua;5887;162;5321,444;3,2;137,016;11,47;74,48;0,66
Niger;2258;80;926;44,5;238,339;2,42;62,42;0,394
Nigeria;73175;1197;5338,454;;181,013;2,42;54,69;0,539
North_Macedonia;73638;2121;13111,214;5;322,688;10,08;75,8;0,774
Northern_Mariana_Islands;113;2;;;194,994;;76,74;
Norway;40022;387;64800,057;0,2;114,316;5,31;82,4;0,957
Oman;126240;1471;37960,709;;266,342;12,61;77,86;0,813
Pakistan;440787;8832;5034,708;4;423,031;8,35;67,27;0,557
Palestine;124657;1079;4449,898;1;265,91;10,59;74,05;0,708
Panama;193007;3356;22267,037;2,2;128,346;8,33;78,51;0,815
Papua_New_Guinea;725;8;3823,194;;561,494;17,65;64,5;0,555
Paraguay;93582;1953;8827,01;1,7;199,128;8,27;74,25;0,728
Peru;984973;36677;12236,706;3,5;85,755;5,95;76,74;0,777
Philippines;449400;8733;7599,188;;370,437;7,07;71,23;0,718
Poland;1135676;22864;27216,445;;227,331;5,91;78,73;0,88
Portugal;348744;5559;27936,896;0,5;127,842;9,85;82,05;0,864
Puerto_Rico;107158;1272;35044,67;;108,094;12,9;80,1;
Qatar;140961;240;116935,6;;176,69;16,52;80,23;0,848
Romania;556335;13385;23313,199;5,7;370,946;9,74;76,05;0,828
Russia;2653928;46941;24765,954;0,1;431,297;6,18;72,58;0,824
Rwanda;6659;56;1854,211;56;191,375;4,28;69,02;0,543
Saint_Kitts_and_Nevis;27;0;24654,385;;;12,84;76,23;0,779
Saint_Lucia;275;4;12951,839;;204,62;11,62;76,2;0,759
Saint_Vincent_and_the_Grenadines;98;0;10727,146;;252,675;11,62;72,53;0,738
San_Marino;1947;51;56861,47;;;5,64;84,97;
Sao_Tome_and_Principe;1009;17;3052,714;32,3;270,113;2,42;70,39;0,625
Saudi_Arabia;359888;6048;49045,411;;259,538;17,72;75,13;0,854
Senegal;17075;349;2470,58;38;241,219;2,42;67,94;0,512
Serbia;266432;2331;14048,881;;439,415;10,08;76;0,806
Seychelles;187;0;26382,287;1,1;242,648;10,55;73,4;0,796
Sierra_Leone;2440;75;1390,3;52,2;325,721;2,42;54,7;0,452
Singapore;58320;29;85535,383;;92,243;10,99;83,62;0,938
Sint_Maarten;1232;26;36327,232;;;;78,95;
Slovakia;132984;1175;30155,152;0,7;287,959;7,29;77,54;0,86
Slovenia;96314;1459;31400,84;;153,493;7,25;81,32;0,917
Solomon_Islands;17;0;2205,923;25,1;459,78;18,68;73;0,567
Somalia;4579;121;;;365,769;6,05;57,4;
South_Africa;860964;23276;12294,876;18,9;200,38;5,52;64,13;0,709
South_Korea;43484;587;35938,374;0,2;85,998;6,8;83,03;0,916
South_Sudan;3206;62;1569,888;;280,775;10,43;57,85;0,433
Spain;1730575;47624;34272,36;1;99,403;7,17;83,56;0,904
Sri_Lanka;32790;152;11669,077;0,7;197,093;10,68;76,98;0,782
Sudan;21386;1347;4466,507;;431,388;15,67;65,31;0,51
Suriname;5353;117;13767,119;;258,314;12,54;71,68;0,738
Sweden;320098;7514;46949,283;0,5;133,982;4,79;82,8;0,945
Switzerland;372329;5378;57410,166;;99,739;5,59;83,78;0,955
Syria;9166;518;;;376,264;;72,7;0,567
Tajikistan;12704;88;2896,913;4,8;427,698;7,11;71,1;0,668
Thailand;4237;60;16277,671;0,1;109,861;7,04;77,15;0,777
Timor_Leste;31;0;6570,102;30,3;335,346;6,86;69,5;0,606
Togo;3251;66;1429,813;49,2;280,033;6,15;61,04;0,515
Trinidad_and_Tobago;6879;122;28763,071;;228,467;10,97;73,51;0,796
Tunisia;111361;3894;10849,297;2;318,991;8,52;76,7;0,74
Turkey;995471;16199;25129,341;0,2;171,285;12,13;77,69;0,82
Turks_and_Caicos_islands;769;6;;;;;80,22;
Uganda;27532;221;1697,707;41,6;213,333;2,5;63,37;0,544
Ukraine;900666;15247;7894,393;0,1;539,849;7,11;72,06;0,779
United_Arab_Emirates;184949;617;67293,483;;317,84;17,26;77,97;0,89
United_Kingdom;1849403;64170;39753,244;0,2;122,137;4,28;81,32;0,932
United_Republic_of_Tanzania;509;21;2683,304;49,1;217,288;5,75;65,46;0,529
United_States_of_America;16256754;299177;54225,446;1,2;151,089;10,79;78,86;0,926
United_States_Virgin_Islands;1807;23;;;273,67;12,26;80,58;
Uruguay;9708;92;20551,409;0,1;160,708;6,93;77,91;0,817
Uzbekistan;75094;612;6253,104;;724,417;7,57;71,72;0,72
Vanuatu;1;0;2921,909;13,2;546,3;12,02;70,47;0,609
Venezuela;107177;949;16745,022;;204,85;6,47;72,06;0,711
Vietnam;1397;35;6171,884;2;245,465;6;75,4;0,704
Yemen;2083;606;1479,147;18,8;495,003;5,35;66,12;0,47
Zambia;18274;367;3689,251;57,5;234,499;3,94;63,89;0,584
Zimbabwe;11246;307;1899,775;21,4;307,846;1,82;61,49;0,571
